Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778961757,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778961758,10,,Aggregated,0.000000,0.000000,14,15,40,51,55,56,58,58,58,58,58,44,13,13,21.492136308965698,2.7942919987253845,57.50070803333074,3010.568181818182
1778961759,10,,Aggregated,0.000000,0.000000,13,15,16,41,55,56,58,58,58,58,58,48,17,13,20.047992991749197,2.703583042602986,57.50070803333074,2761.5208333333335
1778961760,10,,Aggregated,41.000000,10.000000,13,14,15,16,55,56,57,58,58,58,58,57,26,13,17.52722802625054,2.3910420131869614,57.50070803333074,2328.964912280702
1778961761,10,,Aggregated,23.000000,7.500000,11,14,15,16,54,55,57,58,58,58,58,64,33,9,16.123057257573237,2.3910420131869614,57.50070803333074,2076.640625
1778961762,10,,Aggregated,17.000000,6.666667,9,13,14,16,54,55,57,58,58,58,58,70,39,8,15.113648806332744,2.3910420131869614,57.50070803333074,1900.5285714285715
1778961763,10,,Aggregated,14.500000,6.750000,7,13,14,15,53,55,57,58,58,58,58,77,46,7,13.97359634178098,1.8974579870700836,57.50070803333074,1729.7532467532467
1778961764,10,,Aggregated,13.200000,7.000000,6,13,14,15,51,55,57,58,58,58,58,83,52,6,13.216614979179015,1.8974579870700836,57.50070803333074,1606.301204819277
1778961765,10,,Aggregated,12.000000,6.833333,6,13,13,14,41,55,57,58,58,58,58,92,61,6,12.349816600402372,1.8974579870700836,57.50070803333074,1451.3152173913043
1778961766,10,,Aggregated,11.428571,7.000000,6,9,13,14,41,55,57,58,58,58,58,99,68,6,11.748400700250357,1.8974579870700836,57.50070803333074,1350.2525252525252
1778961767,10,,Aggregated,10.625000,6.750000,6,9,13,14,40,55,56,57,58,58,58,104,73,6,11.429700751950104,1.8974579870700836,57.50070803333074,1286.3942307692307
1778961768,10,,Aggregated,10.333333,6.888889,6,9,13,14,40,55,56,57,58,58,58,108,77,6,11.144843010697514,1.8974579870700836,57.50070803333074,1239.5648148148148
1778961769,10,,Aggregated,10.100000,7.000000,5,7,13,13,16,55,56,57,58,58,58,118,87,5,10.463141620167042,1.8974579870700836,57.50070803333074,1136.3813559322034
1778961770,10,,Aggregated,6.400000,6.400000,5,7,13,13,16,54,56,57,58,58,58,123,92,5,10.190111814479426,1.8974579870700836,57.50070803333074,1091.081300813008
1778961771,10,,Aggregated,6.700000,6.700000,5,7,11,13,16,54,56,57,58,58,58,130,99,5,9.805630478793038,1.8645409727469087,57.50070803333074,1033.5153846153846
1778961772,10,,Aggregated,6.700000,6.700000,4,7,9,13,16,54,56,57,58,58,58,137,106,4,9.483866498084998,1.8645409727469087,57.50070803333074,981.8321167883212
1778961773,10,,Aggregated,6.700000,6.700000,4,6,9,13,15,53,56,57,58,58,58,145,114,4,9.201001449777134,1.8645409727469087,57.50070803333074,928.8758620689655
1778961774,10,,Aggregated,6.500000,6.500000,5,6,9,13,15,53,56,57,58,58,58,148,117,4,9.09901325192894,1.8645409727469087,57.50070803333074,910.4932432432432
1778961775,10,,Aggregated,6.800000,6.800000,4,6,8,13,15,53,55,57,58,58,58,157,126,4,8.743424109809077,1.8645409727469087,57.50070803333074,859.5605095541401
1778961776,10,,Aggregated,6.700000,6.700000,4,6,7,11,15,51,55,57,58,58,58,163,132,4,8.543160044448165,1.8645409727469087,57.50070803333074,828.7300613496933
1778961777,10,,Aggregated,6.800000,6.800000,3,6,7,9,14,51,55,57,58,58,58,171,140,3,8.316234428481858,1.8645409727469087,57.50070803333074,790.9883040935673
